"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","32/852","323/25730",0.0990712074303406,2.99190395209233,6.66678546326102,4.01528625335704e-08,9.40915412036665e-06,7.42073203815909e-06,"Cav1/Cav2/Ets1/Dpt/Ecm2/Vwa1/Fbln5/Dpp4/Cma1/Gpm6b/Smoc2/Spock2/Serpinh1/Rgcc/Hsd17b12/Ccn2/Sulf1/Vit/Egfl6/Has2/Tgfb2/Pdpn/Npnt/Tcf15/Fbln1/Foxc1/Bmp2/Sfrp2/Ccn1/Ramp2/Lox/Tnfrsf11b",32
"GO:0045229","GO:0045229","external encapsulating structure organization","32/852","324/25730",0.0987654320987654,2.98266968063525,6.64627401677737,4.31755821239992e-08,9.65759271055454e-06,7.61666848283182e-06,"Cav1/Cav2/Ets1/Dpt/Ecm2/Vwa1/Fbln5/Dpp4/Cma1/Gpm6b/Smoc2/Spock2/Serpinh1/Rgcc/Hsd17b12/Ccn2/Sulf1/Vit/Egfl6/Has2/Tgfb2/Pdpn/Npnt/Tcf15/Fbln1/Foxc1/Bmp2/Sfrp2/Ccn1/Ramp2/Lox/Tnfrsf11b",32
"GO:0043062","GO:0043062","extracellular structure organization","32/852","325/25730",0.0984615384615385,2.97349223546407,6.62584118469084,4.64102286880299e-08,9.92977110320848e-06,7.83132783399388e-06,"Cav1/Cav2/Ets1/Dpt/Ecm2/Vwa1/Fbln5/Dpp4/Cma1/Gpm6b/Smoc2/Spock2/Serpinh1/Rgcc/Hsd17b12/Ccn2/Sulf1/Vit/Egfl6/Has2/Tgfb2/Pdpn/Npnt/Tcf15/Fbln1/Foxc1/Bmp2/Sfrp2/Ccn1/Ramp2/Lox/Tnfrsf11b",32
"GO:0035458","GO:0035458","cellular response to interferon-beta","14/852","70/25730",0.2,6.03990610328638,7.81387858027081,5.91880900452109e-08,1.21360246296868e-05,9.5713371928374e-06,"Iigp1/Ifitm2/Calm2/Ifi47/Gbp2/Ifi204/Tgtp1/Ifit1/Ifit3/Gbp6/Igtp/Oas1a/Irgm2/Tgtp2",14
"GO:0031589","GO:0031589","cell-substrate adhesion","35/852","383/25730",0.0913838120104439,2.75974821951728,6.42111071384545,7.12704434421889e-08,1.40288740871605e-05,1.10641736830042e-05,"Pecam1/Cd34/Cd36/Enpp2/S100a10/Kdr/Ecm2/Gpm6b/Smoc2/Edil3/Sema3e/Vegfc/Spock2/Lims1/Itgbl1/Bst1/Hsd17b12/Ccn2/Vit/Cdh11/Vcam1/Egfl6/Has2/Msln/Col8a1/Rin2/Gcnt2/Pdpn/Npnt/Epdr1/Efna1/Mdk/Fbln1/Tnfrsf12a/Ccn1",35
"GO:0001935","GO:0001935","endothelial cell proliferation","22/852","174/25730",0.126436781609195,3.81833144460634,6.90309372108349,7.92367602186153e-08,1.4809370672403e-05,1.16797291241938e-05,"Cav1/Pdcd10/Cav2/Aplnr/Cd34/Synj2bp/Mef2c/Kdr/Ccl24/Flt1/Arg1/Wnt5a/Rgcc/Sulf1/Ccl11/Col8a1/Lipa/Vash1/Fgfbp1/Mdk/Flt4/Scg2",22
"GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade","25/852","219/25730",0.114155251141553,3.44743499046027,6.73120783104629,8.12544214905267e-08,1.4809370672403e-05,1.16797291241938e-05,"Rap1a/Rap1b/Cd36/Kdr/Cavin3/Pdgfd/Tlr4/Iapp/Ccn2/Acta2/Ackr3/F2r/Gcnt2/Pdgfc/Fgf1/Npnt/Nox4/Inhba/Ccr1/Cxcr4/Bmp2/Glipr2/Gcg/Flt4/Hand2",25
"GO:0097529","GO:0097529","myeloid leukocyte migration","27/852","252/25730",0.107142857142857,3.23566398390342,6.60005650003455,9.34068213418151e-08,1.6416248850824e-05,1.29470282062884e-05,"Pecam1/Cd200/Rarres2/Pf4/Pdgfd/Nbl1/Dpp4/Vegfc/Ccl24/Flt1/Dpep1/Ccl7/Bst1/Ccl11/Tgfb2/Anxa1/Ccl12/P2ry12/Rtn4/Ccr1/Cx3cr1/Mdk/Stap1/Spi1/Cxcl13/Scg2/Ptpro",27
"GO:0030595","GO:0030595","leukocyte chemotaxis","26/852","238/25730",0.109243697478992,3.29910837574466,6.59431192497407,1.09276017706662e-07,1.8543009763258e-05,1.46243440030658e-05,"S1pr1/Rarres2/Cxcl14/Pf4/Nbl1/Dpp4/Vegfc/Ccl24/Flt1/Wnt5a/Dpep1/Ccl7/Bst1/Ccl11/Tgfb2/Anxa1/Ccl12/Ccr1/Cx3cr1/Mdk/Stap1/Spi1/Cxcl13/Scg2/Ptpro/Klrk1",26
"GO:0050727","GO:0050727","regulation of inflammatory response","37/852","430/25730",0.086046511627907,2.59856425373949,6.1862516635083,1.40925339802967e-07,2.25094516128535e-05,1.77525637913969e-05,"Pdcd10/Fabp4/Cd200/Ets1/Nek7/Wfdc1/Pf4/Clock/Ptgis/Cma1/Pde5a/Ccl24/Tlr4/Ctla2a/Wnt5a/Gbp2/Ier3/Ccl7/Bst1/Ins1/Pbk/Metrnl/Il33/Casp12/Anxa1/Ccr1/Cx3cr1/Mdk/Igtp/Tmsb4x/Stap1/Casp1/Gpx1/Ctsc/Casp4/Irgm2/Ptges",37
